Polygon_ID,Width,Height,Foreground_Pixels,Background_Pixels,Polygon_Area_m2,Rasterized_Area_m2
0,81,92,1261,6191,126585.99,126100.0
1,134,83,2538,8584,254284.84,253800.0
10,57,63,285,3306,28296.68,28500.0
100,79,80,996,5324,99273.11,99600.0
101,82,96,1743,6129,173651.15,174300.0
102,59,67,250,3703,24783.12,25000.0
103,70,69,664,4166,66611.56,66400.0
104,69,79,783,4668,78356.68,78300.0
105,108,133,3781,10583,378696.22,378100.0
106,155,148,5404,17536,539739.88,540400.0
107,68,71,650,4178,65421.06,65000.0
108,56,57,197,2995,19791.72,19700.0
109,63,54,232,3170,22889.36,23200.0
11,64,92,801,5087,79955.36,80100.0
110,65,62,381,3649,37593.72,38100.0
111,82,75,1041,5109,103793.64,104100.0
112,72,60,407,3913,40674.61,40700.0
113,64,65,353,3807,35402.56,35300.0
114,87,73,1115,5236,111759.11,111500.0
115,135,133,4222,13733,422081.36,422200.0
116,68,95,850,5610,84984.83,85000.0
117,75,83,792,5433,79392.88,79200.0
118,103,80,1292,6948,128760.21,129200.0
119,86,70,853,5167,85335.16,85300.0
12,85,89,1091,6474,109236.8,109100.0
120,63,61,349,3494,34657.98,34900.0
121,85,75,670,5705,66489.76,67000.0
122,65,55,257,3318,25816.82,25700.0
123,73,61,436,4017,42765.37,43600.0
124,80,112,1835,7125,183817.49,183500.0
125,106,89,1613,7821,161717.16,161300.0
126,104,69,1246,5930,124263.75,124600.0
127,127,86,1307,9615,130727.7,130700.0
128,172,133,3699,19177,369559.36,369900.0
129,93,77,1358,5803,135496.9,135800.0
13,114,99,2424,8862,242194.26,242400.0
130,77,65,480,4525,48162.71,48000.0
133,105,69,1094,6151,109440.18,109400.0
134,62,64,408,3560,40355.5,40800.0
135,68,73,506,4458,50618.56,50600.0
136,65,74,647,4163,64431.8,64700.0
137,75,59,481,3944,47573.97,48100.0
138,83,72,709,5267,71054.14,70900.0
139,80,78,920,5320,91418.62,92000.0
14,121,124,2870,12134,286917.22,287000.0
140,94,79,1596,5830,159546.28,159600.0
141,121,83,2440,7603,243946.04,244000.0
142,90,76,1164,5676,116553.92,116400.0
143,144,106,3845,11419,384326.88,384500.0
144,118,92,2094,8762,209584.26,209400.0
145,79,67,426,4867,42729.87,42600.0
146,65,63,346,3749,34511.9,34600.0
147,62,59,289,3369,28871.53,28900.0
148,70,78,721,4739,72173.78,72100.0
149,68,74,341,4691,33853.99,34100.0
15,114,83,1725,7737,172507.76,172500.0
151,73,96,1251,5757,125308.51,125100.0
152,58,61,242,3296,24295.06,24200.0
153,52,55,160,2700,15555.15,16000.0
154,105,101,1852,8753,185388.13,185200.0
155,111,96,1633,9023,163337.42,163300.0
157,104,73,1043,6549,104840.46,104300.0
158,109,72,1156,6692,115561.74,115600.0
159,109,73,1187,6770,118537.85,118700.0
16,105,95,1901,8074,189977.89,190100.0
161,65,74,605,4205,60607.5,60500.0
162,81,76,941,5215,94132.69,94100.0
163,89,61,506,4923,50417.27,50600.0
164,64,60,353,3487,35555.93,35300.0
165,73,64,557,4115,55208.1,55700.0
166,88,64,716,4916,71605.4,71600.0
167,100,73,1160,6140,115856.98,116000.0
168,122,118,2860,11536,286004.44,286000.0
169,89,119,2270,8321,226976.9,227000.0
17,99,80,1489,6431,148744.21,148900.0
170,118,72,1100,7396,110126.81,110000.0
171,61,58,255,3283,25263.0,25500.0
172,69,94,953,5533,95625.79,95300.0
173,63,75,519,4206,51686.84,51900.0
174,64,123,1323,6549,132124.0,132300.0
175,69,80,746,4774,74091.95,74600.0
176,87,88,1066,6590,106048.36,106600.0
177,50,46,46,2254,4515.02,4600.0
178,74,69,754,4352,75320.28,75400.0
179,106,153,3943,12275,393115.73,394300.0
18,79,84,1288,5348,129196.3,128800.0
180,123,153,6881,11938,687346.91,688100.0
181,114,99,2794,8492,279565.92,279400.0
182,77,73,685,4936,68075.76,68500.0
183,137,106,3789,10733,378826.06,378900.0
184,103,82,1604,6842,160374.46,160400.0
185,81,77,864,5373,85707.61,86400.0
186,77,66,517,4565,51670.51,51700.0
187,65,81,197,5068,20096.67,19700.0
188,72,87,1003,5261,99877.59,100300.0
189,71,73,718,4465,72138.95,71800.0
19,80,92,1436,5924,143298.66,143600.0
190,84,76,915,5469,91499.92,91500.0
191,65,76,601,4339,60364.52,60100.0
192,85,89,1156,6409,115957.43,115600.0
194,66,64,446,3778,44487.63,44600.0
195,64,60,267,3573,26181.4,26700.0
196,65,65,409,3816,40457.79,40900.0
197,78,86,1305,5403,130636.64,130500.0
198,63,73,602,3997,59853.09,60200.0
199,68,87,659,5257,65845.38,65900.0
2,49,53,100,2497,10027.53,10000.0
20,63,70,479,3931,47655.59,47900.0
200,66,63,137,4021,13651.86,13700.0
201,67,51,123,3294,11886.01,12300.0
202,77,108,1239,7077,124049.02,123900.0
203,72,57,380,3724,38017.5,38000.0
204,88,73,873,5551,87258.51,87300.0
205,90,102,1351,7829,135380.04,135100.0
206,75,73,791,4684,79338.53,79100.0
207,98,122,1921,10035,191907.89,192100.0
208,65,113,1453,5892,144560.26,145300.0
209,100,98,1661,8139,164865.71,166100.0
21,96,98,1434,7974,143070.48,143400.0
210,157,162,2829,22605,282717.58,282900.0
211,116,129,2887,12077,288569.51,288700.0
212,61,69,313,3896,30929.69,31300.0
213,60,70,459,3741,46015.87,45900.0
214,158,186,10551,18837,1054955.77,1055100.0
215,119,145,4881,12374,487463.14,488100.0
22,72,67,553,4271,55070.87,55300.0
220,68,74,719,4313,71527.36,71900.0
221,90,102,1347,7833,134487.24,134700.0
222,88,149,1702,11410,170237.77,170200.0
223,92,113,1567,8829,156378.52,156700.0
224,102,110,2490,8730,248129.23,249000.0
225,102,86,1453,7319,145782.26,145300.0
226,179,110,3990,15700,398345.93,399000.0
227,90,83,973,6497,97133.77,97300.0
228,140,148,5873,14847,587512.27,587300.0
229,61,53,189,3044,18964.56,18900.0
23,93,76,1036,6032,103560.15,103600.0
230,133,120,4064,11896,407273.51,406400.0
231,160,132,4880,16240,488841.84,488000.0
232,136,125,5168,11832,517243.44,516800.0
233,175,104,2757,15443,275915.92,275700.0
234,110,98,2789,7991,278581.55,278900.0
235,93,90,1660,6710,166405.91,166000.0
236,103,78,1643,6391,164115.83,164300.0
237,68,77,497,4739,49809.99,49700.0
238,95,63,854,5131,84790.22,85400.0
239,73,60,515,3865,51369.24,51500.0
24,65,84,597,4863,59417.43,59700.0
240,61,104,781,5563,77694.57,78100.0
241,68,98,626,6038,62569.26,62600.0
242,120,130,1915,13685,191473.32,191500.0
243,62,71,480,3922,48456.29,48000.0
244,176,128,6511,16017,651467.83,651100.0
245,132,151,4453,15479,446222.64,445300.0
246,227,265,17439,42716,1744068.19,1743900.0
247,177,191,11269,22538,1126705.35,1126900.0
248,61,84,555,4569,55528.98,55500.0
249,87,116,1800,8292,179205.73,180000.0
25,56,59,228,3076,22860.21,22800.0
250,111,95,1864,8681,186877.94,186400.0
251,77,91,1359,5648,135494.38,135900.0
252,127,123,3452,12169,345599.39,345200.0
253,104,91,1842,7622,183717.38,184200.0
254,148,118,1930,15534,192648.85,193000.0
255,121,125,3888,11237,388843.05,388800.0
256,267,218,16259,41947,1626771.8,1625900.0
257,111,121,2967,10464,295985.42,296700.0
258,78,59,389,4213,38765.92,38900.0
259,241,78,4101,14697,409647.2,410100.0
26,63,63,371,3598,36692.53,37100.0
260,149,104,2769,12727,277317.62,276900.0
261,67,59,281,3672,28318.81,28100.0
262,89,124,2166,8870,216030.17,216600.0
263,105,80,1547,6853,154075.39,154700.0
264,146,111,2694,13512,269582.02,269400.0
265,119,71,1565,6884,156140.16,156500.0
266,106,99,1647,8847,164370.44,164700.0
267,93,84,1643,6169,164250.24,164300.0
268,135,146,3603,16107,359931.37,360300.0
269,137,104,3876,10372,388134.32,387600.0
27,57,59,248,3115,25220.24,24800.0
270,98,65,992,5378,98838.14,99200.0
271,92,75,1246,5654,124498.42,124600.0
272,169,111,2864,15895,286174.75,286400.0
273,84,86,963,6261,96085.29,96300.0
274,87,75,678,5847,67590.63,67800.0
275,148,77,2143,9253,213553.41,214300.0
276,103,107,1531,9490,152701.8,153100.0
277,69,67,506,4117,50561.29,50600.0
278,143,143,4745,15704,474427.68,474500.0
279,52,80,330,3830,32781.73,33000.0
28,59,62,242,3416,23702.01,24200.0
280,217,152,10961,22023,1095769.2,1096100.0
281,115,102,3231,8499,322742.03,323100.0
282,58,73,369,3865,36783.45,36900.0
283,115,103,3076,8769,307410.65,307600.0
285,109,109,1638,10243,164390.73,163800.0
286,177,289,10643,40510,1064975.66,1064300.0
287,194,139,9489,17477,949046.27,948900.0
288,115,250,5648,23102,562997.56,564800.0
289,119,137,3097,13206,309479.47,309700.0
29,102,143,3554,11032,354803.89,355400.0
290,94,83,1088,6714,108823.62,108800.0
291,136,110,3602,11358,360018.24,360200.0
292,102,116,2405,9427,240315.94,240500.0
293,316,162,21307,29885,2130455.82,2130700.0
294,325,193,18084,44641,1807244.98,1808400.0
295,284,199,22366,34150,2236053.51,2236600.0
296,117,93,1650,9231,164825.22,165000.0
297,168,104,6169,11303,616733.89,616900.0
298,109,135,2614,12101,261235.35,261400.0
