image_id,orig_H,orig_W,valid_px,was_padded,was_cropped,glacier_px_gt,glacier_frac_gt,glacier_px_pred,TP,FP,FN,TN,precision,recall,f1_score,iou,dice,accuracy,specificity
0286,289,177,16384,False,True,5077,0.3099,9984,3477,6507,1600,4800,0.3483,0.6849,0.4617,0.3002,0.4617,0.5052,0.4245
0242,130,120,15360,True,True,1915,0.1247,5741,1873,3868,42,9577,0.3262,0.9781,0.4893,0.3239,0.4893,0.7454,0.7123
0450,80,82,6560,True,False,465,0.0709,1224,436,788,29,5307,0.3562,0.9376,0.5163,0.348,0.5163,0.8755,0.8707
0301,125,84,10500,True,False,1314,0.1251,3540,1294,2246,20,6940,0.3655,0.9848,0.5332,0.3635,0.5332,0.7842,0.7555
0298,135,109,13952,True,True,2614,0.1874,6876,2610,4266,4,7072,0.3796,0.9985,0.5501,0.3794,0.5501,0.694,0.6237
0617,55,59,3245,True,False,140,0.0431,343,136,207,4,2898,0.3965,0.9714,0.5631,0.3919,0.5631,0.935,0.9333
0293,162,316,16384,False,True,8790,0.5365,10541,5872,4669,2918,2925,0.5571,0.668,0.6075,0.4363,0.6075,0.5369,0.3852
0491,141,74,9472,True,True,1378,0.1455,2539,1195,1344,183,6750,0.4707,0.8672,0.6102,0.439,0.6102,0.8388,0.834
0032,55,60,3300,True,False,144,0.0436,294,135,159,9,2997,0.4592,0.9375,0.6164,0.4455,0.6164,0.9491,0.9496
0482,50,51,2550,True,False,81,0.0318,179,81,98,0,2371,0.4525,1.0,0.6231,0.4525,0.6231,0.9616,0.9603
0288,250,115,14720,True,True,3948,0.2682,5234,2886,2348,1062,8424,0.5514,0.731,0.6286,0.4584,0.6286,0.7683,0.782
0268,146,135,16384,False,True,3603,0.2199,5830,3042,2788,561,9993,0.5218,0.8443,0.645,0.476,0.645,0.7956,0.7819
0621,59,64,3776,True,False,221,0.0585,416,206,210,15,3345,0.4952,0.9321,0.6468,0.478,0.6468,0.9404,0.9409
0366,79,54,4266,True,False,270,0.0633,527,259,268,11,3728,0.4915,0.9593,0.6499,0.4814,0.6499,0.9346,0.9329
0237,77,68,5236,True,False,497,0.0949,955,474,481,23,4258,0.4963,0.9537,0.6529,0.4847,0.6529,0.9037,0.8985
0567,55,66,3630,True,False,196,0.054,358,184,174,12,3260,0.514,0.9388,0.6643,0.4973,0.6643,0.9488,0.9493
0231,132,160,16384,False,True,4880,0.2979,8022,4317,3705,563,7799,0.5381,0.8846,0.6692,0.5029,0.6692,0.7395,0.6779
0230,120,133,15360,True,True,4064,0.2646,6107,3452,2655,612,8641,0.5653,0.8494,0.6788,0.5138,0.6788,0.7873,0.765
0266,99,106,10494,True,False,1647,0.1569,2951,1586,1365,61,7482,0.5374,0.963,0.6899,0.5266,0.6899,0.8641,0.8457
0619,65,77,5005,True,False,424,0.0847,782,417,365,7,4216,0.5332,0.9835,0.6915,0.5285,0.6915,0.9257,0.9203
0406,69,97,6693,True,False,838,0.1252,1441,793,648,45,5207,0.5503,0.9463,0.6959,0.5336,0.6959,0.8965,0.8893
0370,61,73,4453,True,False,373,0.0838,639,354,285,19,3795,0.554,0.9491,0.6996,0.538,0.6996,0.9317,0.9301
0405,85,78,6630,True,False,797,0.1202,1405,780,625,17,5208,0.5552,0.9787,0.7084,0.5485,0.7084,0.9032,0.8929
0176,88,87,7656,True,False,1066,0.1392,1870,1042,828,24,5762,0.5572,0.9775,0.7098,0.5502,0.7098,0.8887,0.8744
0615,91,60,5460,True,False,532,0.0974,913,514,399,18,4529,0.563,0.9662,0.7114,0.5521,0.7114,0.9236,0.919
0529,87,103,8961,True,False,1538,0.1716,2450,1452,998,86,6425,0.5927,0.9441,0.7282,0.5726,0.7282,0.879,0.8656
0477,63,82,5166,True,False,534,0.1034,802,487,315,47,4317,0.6072,0.912,0.729,0.5736,0.729,0.9299,0.932
0601,108,65,7020,True,False,869,0.1238,1439,843,596,26,5555,0.5858,0.9701,0.7305,0.5754,0.7305,0.9114,0.9031
0249,116,87,10092,True,False,1800,0.1784,3035,1767,1268,33,7024,0.5822,0.9817,0.7309,0.5759,0.7309,0.8711,0.8471
0362,77,62,4774,True,False,455,0.0953,774,451,323,4,3996,0.5827,0.9912,0.7339,0.5797,0.7339,0.9315,0.9252
0291,110,136,14080,True,True,3602,0.2558,5623,3387,2236,215,8242,0.6023,0.9403,0.7343,0.5802,0.7343,0.8259,0.7866
0385,58,64,3712,True,False,245,0.066,399,240,159,5,3308,0.6015,0.9796,0.7453,0.5941,0.7453,0.9558,0.9541
0248,84,61,5124,True,False,555,0.1083,923,551,372,4,4197,0.597,0.9928,0.7456,0.5944,0.7456,0.9266,0.9186
0075,74,91,6734,True,False,851,0.1264,1407,842,565,9,5318,0.5984,0.9894,0.7458,0.5946,0.7458,0.9148,0.904
0596,62,80,4960,True,False,507,0.1022,817,494,323,13,4130,0.6047,0.9744,0.7462,0.5952,0.7462,0.9323,0.9275
0576,51,61,3111,True,False,188,0.0604,289,182,107,6,2816,0.6298,0.9681,0.7631,0.6169,0.7631,0.9637,0.9634
0030,64,76,4864,True,False,526,0.1081,769,496,273,30,4065,0.645,0.943,0.766,0.6208,0.766,0.9377,0.9371
0073,61,75,4575,True,False,439,0.096,678,429,249,10,3887,0.6327,0.9772,0.7681,0.6235,0.7681,0.9434,0.9398
0253,91,104,9464,True,False,1842,0.1946,2716,1753,963,89,6659,0.6454,0.9517,0.7692,0.625,0.7692,0.8888,0.8737
0447,67,64,4288,True,False,369,0.0861,565,360,205,9,3714,0.6372,0.9756,0.7709,0.6272,0.7709,0.9501,0.9477
0614,80,55,4400,True,False,344,0.0782,524,335,189,9,3867,0.6393,0.9738,0.7719,0.6285,0.7719,0.955,0.9534
0391,64,58,3712,True,False,263,0.0709,384,251,133,12,3316,0.6536,0.9544,0.7759,0.6338,0.7759,0.9609,0.9614
0423,60,65,3900,True,False,303,0.0777,447,292,155,11,3442,0.6532,0.9637,0.7787,0.6376,0.7787,0.9574,0.9569
0184,82,103,8446,True,False,1604,0.1899,2150,1482,668,122,6174,0.6893,0.9239,0.7896,0.6523,0.7896,0.9065,0.9024
0290,83,94,7802,True,False,1088,0.1395,1578,1054,524,34,6190,0.6679,0.9687,0.7907,0.6538,0.7907,0.9285,0.922
0091,51,62,3162,True,False,186,0.0588,279,184,95,2,2881,0.6595,0.9892,0.7914,0.6548,0.7914,0.9693,0.9681
0099,128,145,16384,False,True,6822,0.4164,9408,6431,2977,391,6585,0.6836,0.9427,0.7925,0.6563,0.7925,0.7944,0.6887
0069,58,59,3422,True,False,217,0.0634,313,211,102,6,3103,0.6741,0.9724,0.7962,0.6614,0.7962,0.9684,0.9682
0133,69,105,7245,True,False,1094,0.151,1600,1073,527,21,5624,0.6706,0.9808,0.7966,0.6619,0.7966,0.9244,0.9143
0618,67,59,3953,True,False,341,0.0863,479,330,149,11,3463,0.6889,0.9677,0.8049,0.6735,0.8049,0.9595,0.9587
0456,75,60,4500,True,False,452,0.1004,646,442,204,10,3844,0.6842,0.9779,0.8051,0.6738,0.8051,0.9524,0.9496
0168,118,122,14396,True,False,2860,0.1987,3810,2690,1120,170,10416,0.706,0.9406,0.8066,0.6759,0.8066,0.9104,0.9029
0590,77,72,5544,True,False,771,0.1391,972,706,266,65,4507,0.7263,0.9157,0.8101,0.6808,0.8101,0.9403,0.9443
0340,92,88,8096,True,False,1447,0.1787,2099,1439,660,8,5989,0.6856,0.9945,0.8116,0.683,0.8116,0.9175,0.9007
0234,98,110,10780,True,False,2789,0.2587,3252,2457,795,332,7196,0.7555,0.881,0.8134,0.6855,0.8134,0.8955,0.9005
0238,63,95,5985,True,False,854,0.1427,984,748,236,106,4895,0.7602,0.8759,0.8139,0.6862,0.8139,0.9429,0.954
0206,73,75,5475,True,False,791,0.1445,1031,742,289,49,4395,0.7197,0.9381,0.8145,0.687,0.8145,0.9383,0.9383
0027,59,57,3363,True,False,248,0.0737,356,246,110,2,3005,0.691,0.9919,0.8146,0.6872,0.8146,0.9667,0.9647
0228,148,140,16384,False,True,5873,0.3585,5583,4685,898,1188,9613,0.8392,0.7977,0.8179,0.6919,0.8179,0.8727,0.9146
0592,55,72,3960,True,False,328,0.0828,466,326,140,2,3492,0.6996,0.9939,0.8212,0.6966,0.8212,0.9641,0.9615
0407,85,121,10285,True,False,2406,0.2339,3194,2306,888,100,6991,0.722,0.9584,0.8236,0.7001,0.8236,0.9039,0.8873
0313,89,122,10858,True,False,2743,0.2526,2500,2162,338,581,7777,0.8648,0.7882,0.8247,0.7017,0.8247,0.9154,0.9583
0048,72,70,5040,True,False,671,0.1331,861,634,227,37,4142,0.7364,0.9449,0.8277,0.706,0.8277,0.9476,0.948
0118,80,103,8240,True,False,1292,0.1568,1689,1235,454,57,6494,0.7312,0.9559,0.8286,0.7073,0.8286,0.938,0.9347
0239,60,73,4380,True,False,515,0.1176,629,477,152,38,3713,0.7583,0.9262,0.8339,0.7151,0.8339,0.9566,0.9607
0172,94,69,6486,True,False,953,0.1469,1286,937,349,16,5184,0.7286,0.9832,0.837,0.7197,0.837,0.9437,0.9369
0381,75,90,6750,True,False,1117,0.1655,1409,1059,350,58,5283,0.7516,0.9481,0.8385,0.7219,0.8385,0.9396,0.9379
0287,139,194,16384,False,True,8725,0.5325,10070,7886,2184,839,5475,0.7831,0.9038,0.8392,0.7229,0.8392,0.8155,0.7148
0388,63,73,4599,True,False,491,0.1068,651,480,171,11,3937,0.7373,0.9776,0.8406,0.7251,0.8406,0.9604,0.9584
0103,69,70,4830,True,False,664,0.1375,749,595,154,69,4012,0.7944,0.8961,0.8422,0.7274,0.8422,0.9538,0.963
0025,59,56,3304,True,False,228,0.069,312,228,84,0,2992,0.7308,1.0,0.8444,0.7308,0.8444,0.9746,0.9727
0059,77,102,7854,True,False,1485,0.1891,1975,1463,512,22,5857,0.7408,0.9852,0.8457,0.7326,0.8457,0.932,0.9196
0006,105,114,11970,True,False,3103,0.2592,4127,3066,1061,37,7806,0.7429,0.9881,0.8481,0.7363,0.8481,0.9083,0.8803
0098,91,87,7917,True,False,1615,0.204,2083,1575,508,40,5794,0.7561,0.9752,0.8518,0.7419,0.8518,0.9308,0.9194
0148,78,70,5460,True,False,721,0.1321,936,706,230,15,4509,0.7543,0.9792,0.8521,0.7424,0.8521,0.9551,0.9515
0317,87,125,10875,True,False,2941,0.2704,3699,2830,869,111,7065,0.7651,0.9623,0.8524,0.7428,0.8524,0.9099,0.8905
0339,64,80,5120,True,False,635,0.124,830,625,205,10,4280,0.753,0.9843,0.8532,0.744,0.8532,0.958,0.9543
0428,61,95,5795,True,False,785,0.1355,963,748,215,37,4795,0.7767,0.9529,0.8558,0.748,0.8558,0.9565,0.9571
0488,92,84,7728,True,False,1582,0.2047,2076,1566,510,16,5636,0.7543,0.9899,0.8562,0.7486,0.8562,0.9319,0.917
0175,80,69,5520,True,False,746,0.1351,932,725,207,21,4567,0.7779,0.9718,0.8641,0.7608,0.8641,0.9587,0.9566
0108,57,56,3192,True,False,197,0.0617,252,194,58,3,2937,0.7698,0.9848,0.8641,0.7608,0.8641,0.9809,0.9806
0153,55,52,2860,True,False,160,0.0559,210,160,50,0,2650,0.7619,1.0,0.8649,0.7619,0.8649,0.9825,0.9815
0610,83,74,6142,True,False,976,0.1589,1175,934,241,42,4925,0.7949,0.957,0.8684,0.7675,0.8684,0.9539,0.9533
0213,70,60,4200,True,False,459,0.1093,598,459,139,0,3602,0.7676,1.0,0.8685,0.7676,0.8685,0.9669,0.9628
0046,76,69,5244,True,False,716,0.1365,890,699,191,17,4337,0.7854,0.9763,0.8705,0.7707,0.8705,0.9603,0.9578
0487,69,63,4347,True,False,522,0.1201,611,497,114,25,3711,0.8134,0.9521,0.8773,0.7814,0.8773,0.968,0.9702
0397,70,98,6860,True,False,1334,0.1945,1427,1242,185,92,5341,0.8704,0.931,0.8997,0.8176,0.8997,0.9596,0.9665
0107,71,68,4828,True,False,650,0.1346,775,641,134,9,4044,0.8271,0.9862,0.8996,0.8176,0.8996,0.9704,0.9679
0082,82,71,5822,True,False,973,0.1671,1041,910,131,63,4718,0.8742,0.9353,0.9037,0.8243,0.9037,0.9667,0.973
0349,72,82,5904,True,False,1020,0.1728,1131,974,157,46,4727,0.8612,0.9549,0.9056,0.8275,0.9056,0.9656,0.9679
0535,62,89,5518,True,False,857,0.1553,947,831,116,26,4545,0.8775,0.9697,0.9213,0.8541,0.9213,0.9743,0.9751
0083,74,79,5846,True,False,1054,0.1803,1115,1010,105,44,4687,0.9058,0.9583,0.9313,0.8714,0.9313,0.9745,0.9781
