patch_id,source_image_id,split,original_image_height,original_image_width,patch_row,patch_col,patch_height,patch_width,glacier_pixel_count,background_pixel_count,glacier_percentage,kept_or_filtered,padding_applied,padding_bottom,padding_right,padding_pixels,mean_B2,std_B2,mean_B3,std_B3,mean_B4,std_B4,mean_B8,std_B8,mean_B11,std_B11,mean_B12,std_B12,mean_NDVI,std_NDVI,mean_NDWI,std_NDWI,mean_NDSI,std_NDSI,mean_Elev,std_Elev,mean_Slope,std_Slope,mean_Aspect,std_Aspect
0002_r0000_c0000,0002,train,53,49,0,0,64,64,100,3996,2.4414,kept,True,11,15,1499,0.59472,0.129336,0.586836,0.121253,0.581886,0.116125,0.55947,0.108364,0.225954,0.056755,0.21416,0.048394,-0.018689,0.011989,0.021935,0.018104,0.429275,0.171078,5383.25293,67.655952,26.677502,12.550792,207.923553,138.96022
0003_r0000_c0000,0003,train,72,73,0,0,64,64,658,3438,16.0645,kept,True,24,23,3960,0.466968,0.128204,0.459675,0.119659,0.456894,0.113345,0.445233,0.098521,0.242771,0.039636,0.225689,0.034991,-0.009319,0.021448,0.010556,0.027592,0.29159,0.130591,4737.861328,51.673576,19.449608,8.238256,120.52697,57.057114
0003_r0000_c0032,0003,train,72,73,0,32,64,64,391,3705,9.5459,kept,True,24,23,3960,0.399768,0.129972,0.395682,0.121889,0.394685,0.113958,0.388555,0.093601,0.219501,0.026406,0.203732,0.024926,-0.00174,0.029689,0.000271,0.037775,0.259886,0.16408,4694.831055,34.321133,15.496519,7.059263,150.75798,75.75766
0003_r0032_c0000,0003,train,72,73,32,0,64,64,506,3590,12.3535,kept,True,24,23,3960,0.578159,0.099683,0.563182,0.091855,0.554905,0.087275,0.530536,0.078687,0.243775,0.039198,0.221463,0.032371,-0.02125,0.014531,0.027924,0.018244,0.388353,0.096556,4733.538574,62.295151,22.092255,10.622957,84.589409,73.241989
0003_r0032_c0032,0003,train,72,73,32,32,64,64,360,3736,8.7891,kept,True,24,23,3960,0.531395,0.095006,0.51991,0.087583,0.512121,0.081005,0.487457,0.067339,0.217512,0.032667,0.197769,0.030331,-0.022839,0.019441,0.029323,0.025421,0.401704,0.123096,4677.922852,22.215256,13.804653,8.198157,138.139877,116.544075
0004_r0000_c0000,0004,train,136,133,0,0,64,64,1418,2678,34.6191,kept,True,24,27,7512,0.527472,0.076001,0.516584,0.0713,0.511603,0.068662,0.494019,0.063058,0.251725,0.042739,0.224609,0.03451,-0.016578,0.011144,0.020988,0.01344,0.33516,0.109189,4742.53418,42.8811,18.424553,11.776994,121.893646,85.349571
0004_r0000_c0032,0004,train,136,133,0,32,64,64,1701,2395,41.5283,kept,True,24,27,7512,0.499105,0.073042,0.491537,0.067504,0.487968,0.064381,0.47299,0.059377,0.260044,0.038039,0.239086,0.03828,-0.01491,0.011717,0.01815,0.014586,0.300597,0.111034,4694.419434,31.049927,14.267935,9.991398,135.034088,96.013557
0004_r0000_c0064,0004,train,136,133,0,64,64,64,400,3696,9.7656,kept,True,24,27,7512,0.484825,0.052102,0.47888,0.047225,0.476054,0.044498,0.463563,0.041013,0.269486,0.042669,0.249911,0.042992,-0.012903,0.012164,0.015589,0.015199,0.277447,0.102642,4651.46875,33.538517,13.828382,10.404611,120.875893,82.576729
0004_r0000_c0096,0004,train,136,133,0,96,64,64,0,4096,0.0,filtered,True,24,27,7512,0.500987,0.049755,0.493768,0.044728,0.490015,0.041253,0.47694,0.036364,0.264073,0.050684,0.245506,0.049869,-0.013083,0.012578,0.016599,0.016123,0.303496,0.117899,4625.966797,16.584686,13.051949,10.560346,131.645706,86.285561
0004_r0032_c0000,0004,train,136,133,32,0,64,64,2032,2064,49.6094,kept,True,24,27,7512,0.600559,0.069386,0.585904,0.0673,0.579531,0.065909,0.559368,0.059508,0.264518,0.048265,0.229473,0.036207,-0.016995,0.010514,0.022272,0.012255,0.373435,0.105133,4766.393555,69.921806,21.408058,16.252708,113.15889,79.94709
0004_r0032_c0032,0004,train,136,133,32,32,64,64,3085,1011,75.3174,kept,True,24,27,7512,0.587785,0.073333,0.574959,0.069173,0.569523,0.06703,0.551048,0.061193,0.259792,0.032898,0.230338,0.033544,-0.016052,0.009347,0.020616,0.011358,0.374428,0.090356,4705.790039,23.826311,13.241289,9.383362,138.89917,91.032959
0004_r0032_c0064,0004,train,136,133,32,64,64,64,1209,2887,29.5166,kept,True,24,27,7512,0.546929,0.063504,0.536389,0.058728,0.532299,0.056076,0.519296,0.051271,0.278385,0.035193,0.249255,0.038499,-0.012011,0.010131,0.0156,0.012423,0.315292,0.081719,4663.469727,38.466297,16.121777,10.701143,125.608307,81.598923
0004_r0032_c0096,0004,train,136,133,32,96,64,64,26,4070,0.6348,kept,True,24,27,7512,0.539563,0.049126,0.529449,0.044531,0.525276,0.041472,0.514213,0.038249,0.277637,0.043697,0.250876,0.044251,-0.010451,0.010471,0.014183,0.013218,0.313623,0.085937,4629.581055,19.957262,16.790604,10.949547,118.858398,82.282745
0004_r0064_c0000,0004,train,136,133,64,0,64,64,1067,3029,26.0498,kept,True,24,27,7512,0.648952,0.06109,0.632149,0.05882,0.625504,0.05707,0.604089,0.051605,0.286573,0.037918,0.241114,0.029727,-0.016824,0.009353,0.02192,0.010736,0.3701,0.087091,4804.804688,88.842827,27.430279,15.221731,110.183701,68.672066
0004_r0064_c0032,0004,train,136,133,64,32,64,64,2391,1705,58.374,kept,True,24,27,7512,0.655285,0.047107,0.638591,0.04482,0.631913,0.043211,0.611236,0.040379,0.279774,0.02896,0.23377,0.021411,-0.016546,0.007799,0.021735,0.00894,0.390805,0.049235,4718.021484,31.153061,17.559008,12.190784,127.424599,86.105637
0004_r0064_c0064,0004,train,136,133,64,64,64,64,1637,2459,39.9658,kept,True,24,27,7512,0.608617,0.056882,0.594395,0.052937,0.589229,0.050226,0.575402,0.044877,0.294336,0.026706,0.24904,0.028619,-0.011574,0.009547,0.015762,0.01167,0.33644,0.057909,4663.796875,46.457596,19.050312,11.428121,126.844215,71.352928
