idx,orig_f_shape,orig_m_shape,harmonized_shape,CRS_match
0000,"(95, 84)","(92, 81)","(92, 81)",True
0001,"(87, 137)","(83, 134)","(83, 134)",True
0002,"(56, 52)","(53, 49)","(53, 49)",True
0003,"(74, 76)","(72, 73)","(72, 73)",True
0004,"(140, 137)","(136, 133)","(136, 133)",True
0005,"(77, 127)","(72, 124)","(72, 124)",True
0006,"(109, 118)","(105, 114)","(105, 114)",True
0007,"(84, 107)","(81, 104)","(81, 104)",True
0008,"(69, 59)","(67, 56)","(67, 56)",True
0009,"(71, 67)","(68, 64)","(68, 64)",True
0010,"(66, 60)","(63, 57)","(63, 57)",True
0011,"(95, 67)","(92, 64)","(92, 64)",True
0012,"(92, 89)","(89, 85)","(89, 85)",True
0013,"(103, 117)","(99, 114)","(99, 114)",True
0014,"(128, 125)","(124, 121)","(124, 121)",True
0015,"(87, 117)","(83, 114)","(83, 114)",True
0016,"(98, 108)","(95, 105)","(95, 105)",True
0017,"(84, 103)","(80, 99)","(80, 99)",True
0018,"(88, 82)","(84, 79)","(84, 79)",True
0019,"(95, 83)","(92, 80)","(92, 80)",True
0020,"(73, 65)","(70, 63)","(70, 63)",True
0021,"(102, 100)","(98, 96)","(98, 96)",True
0022,"(69, 75)","(67, 72)","(67, 72)",True
0023,"(80, 96)","(76, 93)","(76, 93)",True
0024,"(87, 68)","(84, 65)","(84, 65)",True
0025,"(62, 59)","(59, 56)","(59, 56)",True
0026,"(66, 66)","(63, 63)","(63, 63)",True
0027,"(61, 60)","(59, 57)","(59, 57)",True
0028,"(65, 62)","(62, 59)","(62, 59)",True
0029,"(146, 107)","(143, 102)","(143, 102)",True
0030,"(66, 79)","(64, 76)","(64, 76)",True
0031,"(86, 82)","(83, 79)","(83, 79)",True
0032,"(58, 62)","(55, 60)","(55, 60)",True
0034,"(99, 73)","(95, 70)","(95, 70)",True
0035,"(76, 87)","(72, 84)","(72, 84)",True
0036,"(83, 79)","(80, 76)","(80, 76)",True
0038,"(73, 65)","(70, 62)","(70, 62)",True
0039,"(51, 57)","(49, 54)","(49, 54)",True
0040,"(90, 101)","(87, 98)","(87, 98)",True
0041,"(104, 112)","(100, 108)","(100, 108)",True
0042,"(85, 85)","(82, 82)","(82, 82)",True
